id,name,review_count,price,is_closed,latitude,longitude,city_x,state,zip_code,country,rating,phone,place_category,population,Price Rating
chez-delisays-cajun-cuisine-chicago,Chez Delisay's Cajun Cuisine,157,$$,False,42.0023499,-87.6717072,Chicago,IL,60626,US,5.0,18728060986.0,restaurants,2695598,2.0
loving-heart-chicago,Loving Heart,122,$,False,41.9619233,-87.6515285,Chicago,IL,60613,US,5.0,17735615399.0,restaurants,2695598,1.0
stock-the-cafe-at-local-foods-chicago,Stock - the cafe at Local Foods,5,$,False,41.91424,-87.66259000000002,Chicago,IL,60642,US,5.0,13124326575.0,restaurants,2695598,1.0
smoque-bbq-chicago,Smoque BBQ,3389,$$,False,41.95021,-87.72795,Chicago,IL,60641,US,4.5,17735457427.0,restaurants,2695598,2.0
crisp-chicago,Crisp,2165,$$,False,41.9361214592879,-87.64442103454522,Chicago,IL,60657,US,4.5,17736977610.0,restaurants,2695598,2.0
avec-chicago,Avec,1735,$$$,False,41.8842815628402,-87.64339794331329,Chicago,IL,60661,US,4.5,13123772002.0,restaurants,2695598,3.0
cafecito-chicago,Cafecito,1252,$,False,41.875725,-87.626566,Chicago,IL,60605,US,4.5,13129222233.0,restaurants,2695598,1.0
the-wormhole-coffee-chicago,The Wormhole Coffee,884,$,False,41.9082794,-87.67471309999998,Chicago,IL,60622,US,4.5,17736612468.0,restaurants,2695598,1.0
scofflaw-chicago,Scofflaw,584,$$,False,41.9173240661621,-87.7071762084961,Chicago,IL,60647,US,4.5,17732529700.0,restaurants,2695598,2.0
pierogi-heaven-chicago,Pierogi Heaven,528,$,False,41.8848624,-87.63372640000001,Chicago,IL,60606,US,4.5,13122639305.0,restaurants,2695598,1.0
en-hakkore-chicago-2,En Hakkore,521,$$,False,41.91518,-87.677724,Chicago,IL,60647,US,4.5,17737729880.0,restaurants,2695598,2.0
fatsos-last-stand-chicago-2,Fatso's Last Stand,485,$,False,41.8959509,-87.6833762,Chicago,IL,60622,US,4.5,17732453287.0,restaurants,2695598,1.0
doc-bs-fresh-kitchen-chicago-3,Doc B's Fresh Kitchen,422,$$,False,41.900246,-87.625163,Chicago,IL,60611,US,4.5,13126261300.0,restaurants,2695598,2.0
brgrbelly-chicago-3,BRGRBELLY,386,$$,False,41.9530335,-87.7709816,Chicago,IL,60634,US,4.5,17732837880.0,restaurants,2695598,2.0
doc-bs-fresh-kitchen-river-north-chicago-4,Doc B's Fresh Kitchen - River North,361,$$,False,41.8915507,-87.6262269,Chicago,IL,60611,US,4.5,13129999300.0,restaurants,2695598,2.0
naf-naf-grill-chicago-2,Naf Naf Grill,321,$,False,41.887581,-87.624981,Chicago,IL,60601,US,4.5,13122630019.0,restaurants,2695598,1.0
3-arts-club-cafe-chicago-2,3 Arts Club Cafe,292,$$,False,41.9058,-87.63046999999997,Chicago,IL,60610,US,4.5,13124759116.0,restaurants,2695598,2.0
brightwok-kitchen-chicago,Brightwok Kitchen,286,$,False,41.8793571,-87.62701659999998,Chicago,IL,60603,US,4.5,13125830729.0,restaurants,2695598,1.0
beatrix-streeterville-chicago,Beatrix Streeterville,274,$$,False,41.8944242,-87.622564,Chicago,IL,60611,US,4.5,13126420001.0,restaurants,2695598,2.0
